File	Description
agua/biorepository.ops	    Biorepository configuration files
agua/biorepository.pm      Biorepository installation files
agua/conf/config.yaml	Config file template copied to /a/conf during installation
agua/etc	Contains daemon files to be copied to /etc
agua/fstab-fix.pl	Script to enable AWS micro instance to reboot correctly
agua/links.txt	List of symbolic links to be created by config script (deprecated).
agua/perlmods	List of required Perl modules to be installed by install.pl
agua/locallib.sh	Script to install perl modules to a local directory
agua/permissions.txt	File permissions for Agua directory hierarchy
agua/usr	Contains daemon files to be copied to /usr
cpan/MyConfig.pm	Replaces MyConfig.pm for running CPAN. (NB: deprecated - use cpanminus)
jbrowse/trackInfo.js	Template trackInfo.js file to copied to newly-generated feature track directories
openstack/openrc.sh	Template Openstack resources configuration file (fill in password, username, etc.)
starcluster/config	Basic StarCluster config file
starcluster/plugins/automount.py	Mount /data and /nethome volumes on head node
starcluster/plugins/sge.py	Configure SGE cluster on head, master and exec nodes. Allow head node to submit and monitor cluster jobs.
ubuntu/*	Folder containing Ubuntu version-specific subfolders with sources.list files
